round, t_select, t_aggregate
1, 6.71818208694458, 1.9991071224212646
2, 8.58306884765625e-05, 3.5137581825256348
3, 0.00012969970703125, 3.2815966606140137
4, 9.250640869140625e-05, 3.2587480545043945
5, 6.031990051269531e-05, 3.2101001739501953
6, 6.628036499023438e-05, 3.3053324222564697
7, 6.532669067382812e-05, 3.250302791595459
8, 9.489059448242188e-05, 2.8483712673187256
9, 7.128715515136719e-05, 3.190411329269409
10, 4.9591064453125e-05, 3.0024526119232178
11, 6.67572021484375e-05, 2.389064073562622
12, 5.7697296142578125e-05, 2.99221134185791
13, 6.961822509765625e-05, 2.331190824508667
14, 3.075599670410156e-05, 2.422283411026001
1, 0.2020256519317627, 0.008526325225830078
2, 3.504753112792969e-05, 0.0037844181060791016
3, 2.5987625122070312e-05, 0.0034809112548828125
4, 2.956390380859375e-05, 0.003448009490966797
5, 2.0503997802734375e-05, 0.004055023193359375
6, 3.0279159545898438e-05, 0.0032110214233398438
1, 3.337860107421875e-05, 0.02681422233581543
2, 2.8848648071289062e-05, 0.022195100784301758
3, 2.956390380859375e-05, 0.021590471267700195
4, 3.147125244140625e-05, 0.021159887313842773
5, 2.6941299438476562e-05, 0.0206301212310791
6, 1.8358230590820312e-05, 0.020291566848754883
7, 2.3365020751953125e-05, 0.020714282989501953
8, 2.8848648071289062e-05, 0.020576953887939453
9, 2.1219253540039062e-05, 0.02173018455505371
10, 2.0265579223632812e-05, 0.01995563507080078
11, 2.3365020751953125e-05, 0.0246889591217041
12, 2.1696090698242188e-05, 0.022148847579956055
13, 3.3855438232421875e-05, 0.022271394729614258
14, 2.3126602172851562e-05, 0.03900766372680664
15, 2.6226043701171875e-05, 0.020489215850830078
16, 2.5987625122070312e-05, 0.0216064453125
17, 1.9311904907226562e-05, 0.02381730079650879
1, 0.15142822265625, 0.02386188507080078
2, 2.5272369384765625e-05, 0.023584365844726562
3, 4.38690185546875e-05, 0.02429032325744629
4, 2.6702880859375e-05, 0.021149635314941406
5, 2.1696090698242188e-05, 0.021457672119140625
6, 2.2411346435546875e-05, 0.0229034423828125
7, 3.266334533691406e-05, 0.021483659744262695
1, 0.0780026912689209, 0.09143304824829102
2, 3.266334533691406e-05, 0.0843808650970459
3, 2.9325485229492188e-05, 0.08915281295776367
4, 3.314018249511719e-05, 0.07909369468688965
5, 3.075599670410156e-05, 0.07959961891174316
6, 4.00543212890625e-05, 0.08609318733215332
7, 3.075599670410156e-05, 0.09201574325561523
8, 3.2901763916015625e-05, 0.07827949523925781
9, 2.8371810913085938e-05, 0.07966375350952148
10, 3.170967102050781e-05, 0.07957625389099121
11, 2.5510787963867188e-05, 0.09033727645874023
12, 2.6702880859375e-05, 0.08406877517700195
13, 2.2172927856445312e-05, 0.09108614921569824
14, 2.4557113647460938e-05, 0.09276986122131348
15, 2.5272369384765625e-05, 0.09334778785705566
16, 2.5987625122070312e-05, 0.09358453750610352
17, 2.47955322265625e-05, 0.08037734031677246
18, 2.2172927856445312e-05, 0.0860137939453125
19, 2.2411346435546875e-05, 0.09278607368469238
